it,MortRunner,MortFroid,MortFeu,MortParHunt,MortSmart,MortNotSmart
723,53,19,9, 25, 15,38
724,53,19,9, 25, 15,38
725,53,19,9, 25, 15,38
726,53,19,9, 25, 15,38
727,53,19,9, 25, 15,38
728,53,19,9, 25, 15,38
729,53,19,9, 25, 15,38
730,53,19,9, 25, 15,38
731,54,20,9, 25, 16,38
732,54,20,9, 25, 16,38
733,54,20,9, 25, 16,38
734,55,21,9, 25, 17,38
735,55,21,9, 25, 17,38
736,56,22,9, 25, 18,38
737,56,22,9, 25, 18,38
738,56,22,9, 25, 18,38
739,56,22,9, 25, 18,38
740,56,22,9, 25, 18,38
741,56,22,9, 25, 18,38
742,56,22,9, 25, 18,38
743,56,22,9, 25, 18,38
744,57,23,9, 25, 19,38
745,57,23,9, 25, 19,38
746,57,23,9, 25, 19,38
747,57,23,9, 25, 19,38
748,57,23,9, 25, 19,38
749,57,23,9, 25, 19,38
750,58,24,9, 25, 20,38
751,58,24,9, 25, 20,38
752,58,24,9, 25, 20,38
753,58,24,9, 25, 20,38
754,58,24,9, 25, 20,38
755,58,24,9, 25, 20,38
756,58,24,9, 25, 20,38
757,58,24,9, 25, 20,38
758,58,24,9, 25, 20,38
759,58,24,9, 25, 20,38
760,58,24,9, 25, 20,38
761,58,24,9, 25, 20,38
762,58,24,9, 25, 20,38
763,58,24,9, 25, 20,38
764,58,24,9, 25, 20,38
765,58,24,9, 25, 20,38
766,58,24,9, 25, 20,38
767,58,24,9, 25, 20,38
768,58,24,9, 25, 20,38
769,59,25,9, 25, 21,38
770,59,25,9, 25, 21,38
771,59,25,9, 25, 21,38
772,59,25,9, 25, 21,38
773,60,26,9, 25, 22,38
774,60,26,9, 25, 22,38
775,60,26,9, 25, 22,38
776,60,26,9, 25, 22,38
777,60,26,9, 25, 22,38
778,60,26,9, 25, 22,38
779,60,26,9, 25, 22,38
780,60,26,9, 25, 22,38
781,60,26,9, 25, 22,38
782,60,26,9, 25, 22,38
783,60,26,9, 25, 22,38
784,60,26,9, 25, 22,38
785,60,26,9, 25, 22,38
786,60,26,9, 25, 22,38
787,60,26,9, 25, 22,38
788,60,26,9, 25, 22,38
789,60,26,9, 25, 22,38
790,60,26,9, 25, 22,38
791,60,26,9, 25, 22,38
792,60,26,9, 25, 22,38
793,60,26,9, 25, 22,38
794,60,26,9, 25, 22,38
795,60,26,9, 25, 22,38
796,60,26,9, 25, 22,38
797,60,26,9, 25, 22,38
798,60,26,9, 25, 22,38
799,60,26,9, 25, 22,38
800,60,26,9, 25, 22,38
801,60,26,9, 25, 22,38
802,60,26,9, 25, 22,38
803,60,26,9, 25, 22,38
804,60,26,9, 25, 22,38
805,60,26,9, 25, 22,38
806,60,26,9, 25, 22,38
807,60,26,9, 25, 22,38
808,60,26,9, 25, 22,38
809,60,26,9, 25, 22,38
810,60,26,9, 25, 22,38
